form_id,battle_format,nature_id,usage_rate,season,source_url,scraped_at
445,double,jolly,54.3,M-4,https://op.gg/pokemon-champions/pokedex/garchomp?format=double,2026-08-02T06:15:48.167Z
778,double,adamant,78.2,M-4,https://op.gg/pokemon-champions/pokedex/mimikyu?format=double,2026-08-02T06:15:48.167Z
908,double,jolly,58.3,M-4,https://op.gg/pokemon-champions/pokedex/meowscarada?format=double,2026-08-02T06:15:48.167Z
450,double,impish,70.3,M-4,https://op.gg/pokemon-champions/pokedex/hippowdon?format=double,2026-08-02T06:15:48.167Z
1018,double,modest,43.8,M-4,https://op.gg/pokemon-champions/pokedex/archaludon?format=double,2026-08-02T06:15:48.167Z
730,double,modest,63,M-4,https://op.gg/pokemon-champions/pokedex/primarina?format=double,2026-08-02T06:15:48.167Z
376,double,adamant,45.2,M-4,https://op.gg/pokemon-champions/pokedex/metagross?format=double,2026-08-02T06:15:48.167Z
130,double,adamant,47.5,M-4,https://op.gg/pokemon-champions/pokedex/gyarados?format=double,2026-08-02T06:15:48.167Z
149,double,modest,58.1,M-4,https://op.gg/pokemon-champions/pokedex/dragonite?format=double,2026-08-02T06:15:48.167Z
655,double,timid,80.5,M-4,https://op.gg/pokemon-champions/pokedex/delphox?format=double,2026-08-02T06:15:48.167Z
6,double,modest,35.9,M-4,https://op.gg/pokemon-champions/pokedex/charizard?format=double,2026-08-02T06:15:48.167Z
257,double,adamant,69.4,M-4,https://op.gg/pokemon-champions/pokedex/blaziken?format=double,2026-08-02T06:15:48.167Z
658,double,timid,56.8,M-4,https://op.gg/pokemon-champions/pokedex/greninja?format=double,2026-08-02T06:15:48.167Z
635,double,modest,68.5,M-4,https://op.gg/pokemon-champions/pokedex/hydreigon?format=double,2026-08-02T06:15:48.167Z
823,double,impish,73.1,M-4,https://op.gg/pokemon-champions/pokedex/corviknight?format=double,2026-08-02T06:15:48.167Z
970,double,timid,53.7,M-4,https://op.gg/pokemon-champions/pokedex/glimmora?format=double,2026-08-02T06:15:48.167Z
681,double,adamant,49.2,M-4,https://op.gg/pokemon-champions/pokedex/aegislash?format=double,2026-08-02T06:15:48.167Z
902,double,jolly,62.5,M-4,https://op.gg/pokemon-champions/pokedex/basculegion-male?format=double,2026-08-02T06:15:48.167Z
10009,double,bold,48.7,M-4,https://op.gg/pokemon-champions/pokedex/rotom-wash?format=double,2026-08-02T06:15:48.167Z
94,double,timid,83.9,M-4,https://op.gg/pokemon-champions/pokedex/gengar?format=double,2026-08-02T06:15:48.167Z
26,double,timid,73.3,M-4,https://op.gg/pokemon-champions/pokedex/raichu?format=double,2026-08-02T06:15:48.167Z
10104,double,timid,85.3,M-4,https://op.gg/pokemon-champions/pokedex/ninetales-alolan?format=double,2026-08-02T06:15:48.167Z
212,double,adamant,76.3,M-4,https://op.gg/pokemon-champions/pokedex/scizor?format=double,2026-08-02T06:15:48.167Z
121,double,jolly,50.2,M-4,https://op.gg/pokemon-champions/pokedex/starmie?format=double,2026-08-02T06:15:48.167Z
398,double,jolly,74.7,M-4,https://op.gg/pokemon-champions/pokedex/staraptor?format=double,2026-08-02T06:15:48.167Z
10236,double,adamant,80,M-4,https://op.gg/pokemon-champions/pokedex/samurott-hisui?format=double,2026-08-02T06:15:48.167Z
983,double,adamant,90.2,M-4,https://op.gg/pokemon-champions/pokedex/kingambit?format=double,2026-08-02T06:15:48.167Z
939,double,calm,72.5,M-4,https://op.gg/pokemon-champions/pokedex/bellibolt?format=double,2026-08-02T06:15:48.167Z
1000,double,modest,40.7,M-4,https://op.gg/pokemon-champions/pokedex/gholdengo?format=double,2026-08-02T06:15:48.167Z
911,double,bold,76,M-4,https://op.gg/pokemon-champions/pokedex/skeledirge?format=double,2026-08-02T06:15:48.167Z
887,double,timid,33.8,M-4,https://op.gg/pokemon-champions/pokedex/dragapult?format=double,2026-08-02T06:15:48.167Z
448,double,jolly,39.6,M-4,https://op.gg/pokemon-champions/pokedex/lucario?format=double,2026-08-02T06:15:48.167Z
197,double,bold,50.8,M-4,https://op.gg/pokemon-champions/pokedex/umbreon?format=double,2026-08-02T06:15:48.167Z
637,double,bold,39.1,M-4,https://op.gg/pokemon-champions/pokedex/volcarona?format=double,2026-08-02T06:15:48.167Z
428,double,jolly,62.6,M-4,https://op.gg/pokemon-champions/pokedex/lopunny?format=double,2026-08-02T06:15:48.167Z
260,double,adamant,58.9,M-4,https://op.gg/pokemon-champions/pokedex/swampert?format=double,2026-08-02T06:15:48.167Z
154,double,modest,74,M-4,https://op.gg/pokemon-champions/pokedex/meganium?format=double,2026-08-02T06:15:48.167Z
700,double,bold,56.6,M-4,https://op.gg/pokemon-champions/pokedex/sylveon?format=double,2026-08-02T06:15:48.167Z
861,double,impish,56.8,M-4,https://op.gg/pokemon-champions/pokedex/grimmsnarl?format=double,2026-08-02T06:15:48.167Z
3,double,bold,36.9,M-4,https://op.gg/pokemon-champions/pokedex/venusaur?format=double,2026-08-02T06:15:48.167Z
303,double,adamant,83.7,M-4,https://op.gg/pokemon-champions/pokedex/mawile?format=double,2026-08-02T06:15:48.167Z
530,double,adamant,54.5,M-4,https://op.gg/pokemon-champions/pokedex/excadrill?format=double,2026-08-02T06:15:48.167Z
937,double,adamant,75.9,M-4,https://op.gg/pokemon-champions/pokedex/ceruledge?format=double,2026-08-02T06:15:48.167Z
279,double,relaxed,28.2,M-4,https://op.gg/pokemon-champions/pokedex/pelipper?format=double,2026-08-02T06:15:48.167Z
748,double,bold,34.5,M-4,https://op.gg/pokemon-champions/pokedex/toxapex?format=double,2026-08-02T06:15:48.167Z
248,double,careful,37.3,M-4,https://op.gg/pokemon-champions/pokedex/tyranitar?format=double,2026-08-02T06:15:48.167Z
547,double,modest,45.2,M-4,https://op.gg/pokemon-champions/pokedex/whimsicott?format=double,2026-08-02T06:15:48.167Z
36,double,bold,71.2,M-4,https://op.gg/pokemon-champions/pokedex/clefable?format=double,2026-08-02T06:15:48.167Z
952,double,bold,48.2,M-4,https://op.gg/pokemon-champions/pokedex/scovillain?format=double,2026-08-02T06:15:48.167Z
9,double,modest,80.1,M-4,https://op.gg/pokemon-champions/pokedex/blastoise?format=double,2026-08-02T06:15:48.167Z
903,double,adamant,55.3,M-4,https://op.gg/pokemon-champions/pokedex/sneasler?format=double,2026-08-02T06:15:48.167Z
956,double,modest,51.4,M-4,https://op.gg/pokemon-champions/pokedex/espathra?format=double,2026-08-02T06:15:48.167Z
10061,double,timid,68.1,M-4,https://op.gg/pokemon-champions/pokedex/floette-eternal-flower?format=double,2026-08-02T06:15:48.167Z
925,double,jolly,76.6,M-4,https://op.gg/pokemon-champions/pokedex/maushold-family-of-four?format=double,2026-08-02T06:15:48.167Z
691,double,sassy,44.1,M-4,https://op.gg/pokemon-champions/pokedex/dragalge?format=double,2026-08-02T06:15:48.167Z
10008,double,modest,46,M-4,https://op.gg/pokemon-champions/pokedex/rotom-heat?format=double,2026-08-02T06:15:48.167Z
143,double,careful,52.9,M-4,https://op.gg/pokemon-champions/pokedex/snorlax?format=double,2026-08-02T06:15:48.167Z
584,double,modest,57.8,M-4,https://op.gg/pokemon-champions/pokedex/vanilluxe?format=double,2026-08-02T06:15:48.167Z
473,double,adamant,75.7,M-4,https://op.gg/pokemon-champions/pokedex/mamoswine?format=double,2026-08-02T06:15:48.167Z
