form_id,battle_format,hp,attack,defense,special_attack,special_defense,speed,usage_rate,season,source_url,scraped_at
445,double,2,32,0,0,0,32,49.5,M-5,https://op.gg/pokemon-champions/pokedex/garchomp?format=double,2026-08-06T06:09:55.733Z
730,double,32,0,20,14,0,0,4.7,M-5,https://op.gg/pokemon-champions/pokedex/primarina?format=double,2026-08-06T06:09:55.733Z
1018,double,2,0,0,32,0,32,25.4,M-5,https://op.gg/pokemon-champions/pokedex/archaludon?format=double,2026-08-06T06:09:55.733Z
778,double,1,32,1,0,0,32,25.4,M-5,https://op.gg/pokemon-champions/pokedex/mimikyu?format=double,2026-08-06T06:09:55.733Z
450,double,32,0,2,0,32,0,20.1,M-5,https://op.gg/pokemon-champions/pokedex/hippowdon?format=double,2026-08-06T06:09:55.733Z
908,double,2,32,0,0,0,32,57,M-5,https://op.gg/pokemon-champions/pokedex/meowscarada?format=double,2026-08-06T06:09:55.733Z
6,double,2,0,0,32,0,32,20.9,M-5,https://op.gg/pokemon-champions/pokedex/charizard?format=double,2026-08-06T06:09:55.733Z
130,double,1,32,1,0,0,32,27.4,M-5,https://op.gg/pokemon-champions/pokedex/gyarados?format=double,2026-08-06T06:09:55.733Z
149,double,1,0,1,32,0,32,17.7,M-5,https://op.gg/pokemon-champions/pokedex/dragonite?format=double,2026-08-06T06:09:55.733Z
655,double,2,0,0,32,0,32,15.5,M-5,https://op.gg/pokemon-champions/pokedex/delphox?format=double,2026-08-06T06:09:55.733Z
376,double,2,32,0,0,0,32,21.7,M-5,https://op.gg/pokemon-champions/pokedex/metagross?format=double,2026-08-06T06:09:55.733Z
658,double,2,0,0,32,0,32,60.5,M-5,https://op.gg/pokemon-champions/pokedex/greninja?format=double,2026-08-06T06:09:55.733Z
970,double,1,0,1,32,0,32,45.3,M-5,https://op.gg/pokemon-champions/pokedex/glimmora?format=double,2026-08-06T06:09:55.733Z
212,double,32,2,32,0,0,0,18.5,M-5,https://op.gg/pokemon-champions/pokedex/scizor?format=double,2026-08-06T06:09:55.733Z
902,double,2,32,0,0,0,32,44,M-5,https://op.gg/pokemon-champions/pokedex/basculegion-male?format=double,2026-08-06T06:09:55.733Z
681,double,32,32,1,0,1,0,14.1,M-5,https://op.gg/pokemon-champions/pokedex/aegislash?format=double,2026-08-06T06:09:55.733Z
94,double,2,0,0,32,0,32,39.6,M-5,https://op.gg/pokemon-champions/pokedex/gengar?format=double,2026-08-06T06:09:55.733Z
823,double,32,0,32,0,2,0,40.8,M-5,https://op.gg/pokemon-champions/pokedex/corviknight?format=double,2026-08-06T06:09:55.733Z
635,double,2,0,0,32,0,32,72,M-5,https://op.gg/pokemon-champions/pokedex/hydreigon?format=double,2026-08-06T06:09:55.733Z
121,double,2,32,0,0,0,32,48.8,M-5,https://op.gg/pokemon-champions/pokedex/starmie?format=double,2026-08-06T06:09:55.733Z
10236,double,2,32,0,0,0,32,20.8,M-5,https://op.gg/pokemon-champions/pokedex/samurott-hisui?format=double,2026-08-06T06:09:55.733Z
1000,double,1,0,0,32,1,32,9.8,M-5,https://op.gg/pokemon-champions/pokedex/gholdengo?format=double,2026-08-06T06:09:55.733Z
257,double,2,32,0,0,0,32,42.9,M-5,https://op.gg/pokemon-champions/pokedex/blaziken?format=double,2026-08-06T06:09:55.733Z
983,double,32,32,2,0,0,0,17.5,M-5,https://op.gg/pokemon-champions/pokedex/kingambit?format=double,2026-08-06T06:09:55.733Z
10009,double,2,0,0,32,0,32,16.7,M-5,https://op.gg/pokemon-champions/pokedex/rotom-wash?format=double,2026-08-06T06:09:55.733Z
428,double,1,32,1,0,0,32,45,M-5,https://op.gg/pokemon-champions/pokedex/lopunny?format=double,2026-08-06T06:09:55.733Z
3,double,32,0,0,32,0,2,16.7,M-5,https://op.gg/pokemon-champions/pokedex/venusaur?format=double,2026-08-06T06:09:55.733Z
637,double,32,0,32,0,0,2,16,M-5,https://op.gg/pokemon-champions/pokedex/volcarona?format=double,2026-08-06T06:09:55.733Z
26,double,2,0,0,32,0,32,56.6,M-5,https://op.gg/pokemon-champions/pokedex/raichu?format=double,2026-08-06T06:09:55.733Z
398,double,2,32,0,0,0,32,31.5,M-5,https://op.gg/pokemon-champions/pokedex/staraptor?format=double,2026-08-06T06:09:55.733Z
700,double,32,0,32,0,2,0,25.7,M-5,https://op.gg/pokemon-champions/pokedex/sylveon?format=double,2026-08-06T06:09:55.733Z
939,double,31,0,4,0,28,3,22.7,M-5,https://op.gg/pokemon-champions/pokedex/bellibolt?format=double,2026-08-06T06:09:55.733Z
448,double,2,32,0,0,0,32,51.5,M-5,https://op.gg/pokemon-champions/pokedex/lucario?format=double,2026-08-06T06:09:55.733Z
